state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Tamil Nadu,Karur,0,34,59950,911,0,0,124,1027,39383,1.27,2,158,54755,44678,816
Tamil Nadu,Tiruchirappalli,263,272,194868,1824,0,0,751,2915,112923,7.53,77,1023,166137,141666,853
Tamil Nadu,Sivaganga,0,225,60151,888,0,0,213,928,42019,5.02,22,438,56080,46107,822
Tamil Nadu,Krishnagiri,0,0,124770,1046,0,0,0,2269,77906,0.0,0,0,119376,83337,698
Tamil Nadu,Erode,0,64,136263,1917,0,0,109,1569,70749,32.95,57,173,116163,90856,782
Tamil Nadu,Palani,0,0,49911,275,0,0,0,427,30731,0.0,0,0,42907,37762,880
Tamil Nadu,Chengalpet,0,176,212951,1150,0,0,720,4194,120637,4.91,44,896,183292,150702,822
Tamil Nadu,Dharmapuri,9,0,73361,436,0,0,0,907,49930,0.0,0,0,69371,53945,778
Tamil Nadu,Ramanathapuram,0,0,30233,385,0,0,0,780,22318,0.0,0,0,28456,24093,847
Tamil Nadu,Tiruppur,0,35,137969,2282,0,0,9,1654,90974,13.64,6,44,131577,97385,740
Tamil Nadu,Theni,19,101,57177,807,0,0,10,1527,45365,8.11,9,111,56769,45784,806
Tamil Nadu,Perambalur,0,0,32527,237,0,0,0,628,20634,0.0,0,0,28754,24419,849
Tamil Nadu,Chennai,578,4225,1089143,5224,2472,2472,15563,20978,603517,2.94,582,19788,933636,759094,813
Tamil Nadu,Tiruvallur,39,134,103979,721,47,47,371,2392,86287,2.97,15,505,111055,79242,714
Tamil Nadu,Paramakudi,0,0,40832,325,0,0,0,527,19194,0.0,0,0,27655,32366,1170
Tamil Nadu,Tiruvarur,298,85,47427,1094,0,0,44,1225,39115,16.28,21,129,51813,34733,670
Tamil Nadu,Poonamallee,0,2,53107,386,0,0,0,972,29285,400.0,8,2,47744,34649,726
Tamil Nadu,Nagapattinam,0,125,58736,1137,0,0,392,1206,46624,6.38,33,517,62029,43326,698
Tamil Nadu,Nilgiris,119,23,122956,533,0,0,58,1191,35139,23.46,19,81,78673,79425,1010
Tamil Nadu,Attur,0,4,118567,333,0,0,8,691,36221,316.67,38,12,73464,81325,1107
Tamil Nadu,Sivakasi,0,6,89969,572,0,0,2,885,37133,275.0,22,8,63505,63597,1001
Telangana,Hyderabad,0,10166,649744,8092,0,0,44622,38622,490747,0.97,532,54788,639697,501512,784
