state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Tripura,Sepahijala,226,230613,642,525,0,425,859,193776,29.03,189,651,218196,206119,945,102370,322019,1140,155,362
Tripura,South Tripura,129,249200,260,159,0,458,356,146467,14.14,83,587,201427,194187,964,99378,296289,443,27,172
Tripura,Unakoti,123,118675,550,176,0,132,570,95841,13.73,35,255,107878,106615,988,47541,166975,946,12,173
Tripura,West Tripura,555,531849,1491,1989,0,932,2042,384461,17.69,263,1487,463648,452525,976,263082,653228,2346,116,1187
Uttar Pradesh,Agra,3238,597866,6103,14,3,6030,12061,691227,3.8,352,9268,738991,549318,743,195947,1093146,16410,108,1754
Uttar Pradesh,Aligarh,2102,403892,4753,4,0,4992,9093,467105,2.62,186,7094,488331,382460,783,138861,732136,12465,42,1380
Uttar Pradesh,Prayagraj,985,619126,6517,52,52,2663,14626,712006,1.97,72,3648,795813,534908,672,241253,1089879,18757,20,2386
Uttar Pradesh,Ambedkar Nagar,3218,287574,3471,369,0,7012,6675,252233,1.47,150,10230,298085,241471,810,74926,464881,9718,32,428
Uttar Pradesh,Amethi,3923,285172,3005,1243,0,7410,5519,233206,1.56,177,11333,277583,240672,867,78752,439626,7273,83,1251
Uttar Pradesh,Amroha,986,217634,2079,792,0,3141,5248,204612,1.28,53,4127,237203,184911,780,61598,360648,6640,16,686
Uttar Pradesh,Auraiya,2507,176788,2222,0,0,4664,3903,148367,3.05,219,7171,184590,140486,761,48977,276178,5864,43,261
Uttar Pradesh,Azamgarh,3832,511585,6043,264,0,8135,11128,562540,1.78,213,11967,606549,467167,770,143518,930607,15651,61,1519
Uttar Pradesh,Badaun,3174,331499,3847,292,0,7014,6931,240259,1.98,202,10188,312755,258880,828,87765,483993,9698,76,1080
Uttar Pradesh,Baghpat,1149,324011,2526,934,0,3193,5407,209929,0.88,38,4342,289417,244370,844,81957,451983,6554,20,1379
Uttar Pradesh,Bahraich,2960,583527,5215,965,0,6998,10720,420705,2.33,232,9958,545388,458687,841,121636,882596,14682,69,1253
Uttar Pradesh,Balarampur,1789,387283,3405,1627,0,2884,5496,208360,2.08,97,4673,334101,261444,783,101612,494031,7835,28,1065
Uttar Pradesh,Ballia,2327,356184,4839,0,0,2377,6386,228578,3.1,146,4704,336447,248076,737,107423,477339,10058,37,1166
Uttar Pradesh,Banda,1688,204055,2879,4098,0,3394,4744,219752,2.13,108,5082,241480,182200,755,45360,378447,7015,26,607
Uttar Pradesh,Barabanki,1890,428099,3870,49,0,5034,9039,370793,1.53,106,6924,447555,351052,784,91315,707577,12158,32,751
Uttar Pradesh,Bareilly,2931,551882,5938,320,0,6928,11914,636688,2.44,241,9859,672600,515620,767,197242,991328,15516,60,2336
Uttar Pradesh,Basti,1725,383261,3730,269,0,3650,7355,332379,2.14,115,5375,398837,316630,794,91851,623789,10202,25,882
Uttar Pradesh,Bijnour,3173,511205,4590,96,0,9272,11837,419362,0.92,115,12445,500430,429867,859,138367,792200,15074,20,1353
