state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Arunachal Pradesh,Upper Siang,55,11384,71,0,0,101,106,10374,8.97,14,156,11583,10173,878,5233,16525,111,4
Arunachal Pradesh,Shi Yomi,28,3710,21,1,0,5,16,4302,21.21,7,33,4058,3954,974,1854,6158,17,2
Arunachal Pradesh,Namsai,372,27398,252,0,0,251,177,37694,9.15,57,623,35201,29888,849,10166,54926,197,13
Arunachal Pradesh,Siang,92,8300,44,0,0,97,50,8546,5.82,11,189,8876,7967,898,3658,13188,47,5
Arunachal Pradesh,West Siang,87,20109,125,0,0,136,102,21931,3.14,7,223,22404,19631,876,10748,31292,89,3
Arunachal Pradesh,Papum Pare,122,13411,101,0,0,178,146,20581,6.67,20,300,20438,13549,663,7725,26267,125,5
Arunachal Pradesh,Longding,59,7897,41,2,0,69,55,11075,17.19,22,128,12000,6972,581,2584,16388,51,6
Arunachal Pradesh,Upper Subansiri,117,15600,108,41,0,134,152,10322,11.55,29,251,13566,12352,911,5480,20442,174,5
Arunachal Pradesh,East Siang,111,26969,139,0,0,139,153,37181,12.0,30,250,33316,30824,925,13755,50395,101,9
Assam,Dibrugarh,4295,263632,3650,4,0,4685,4813,262233,3.12,280,8980,276268,249533,903,100802,425063,6216,57
